1665,13-Jan-16 03:00:00,T0_CH_CERN
1644,13-Jan-16 04:00:00,T0_CH_CERN
1654,13-Jan-16 05:00:00,T0_CH_CERN
1675,13-Jan-16 06:00:00,T0_CH_CERN
1677,13-Jan-16 07:00:00,T0_CH_CERN
1670,13-Jan-16 08:00:00,T0_CH_CERN
1676,13-Jan-16 09:00:00,T0_CH_CERN
1677,13-Jan-16 10:00:00,T0_CH_CERN
1672,13-Jan-16 11:00:00,T0_CH_CERN
1673,13-Jan-16 12:00:00,T0_CH_CERN
1677,13-Jan-16 13:00:00,T0_CH_CERN
1675,13-Jan-16 14:00:00,T0_CH_CERN
1674,13-Jan-16 15:00:00,T0_CH_CERN
1673,13-Jan-16 16:00:00,T0_CH_CERN
1676,13-Jan-16 17:00:00,T0_CH_CERN
1671,13-Jan-16 18:00:00,T0_CH_CERN
1672,13-Jan-16 19:00:00,T0_CH_CERN
1676,13-Jan-16 20:00:00,T0_CH_CERN
1675,13-Jan-16 21:00:00,T0_CH_CERN
1674,13-Jan-16 22:00:00,T0_CH_CERN
1669,13-Jan-16 23:00:00,T0_CH_CERN
1662,14-Jan-16 00:00:00,T0_CH_CERN
1677,14-Jan-16 01:00:00,T0_CH_CERN
1686,14-Jan-16 02:00:00,T0_CH_CERN
1681,14-Jan-16 03:00:00,T0_CH_CERN
1676,14-Jan-16 04:00:00,T0_CH_CERN
1675,14-Jan-16 05:00:00,T0_CH_CERN
1681,14-Jan-16 06:00:00,T0_CH_CERN
1679,14-Jan-16 07:00:00,T0_CH_CERN
1668,14-Jan-16 08:00:00,T0_CH_CERN
1673,14-Jan-16 09:00:00,T0_CH_CERN
1677,14-Jan-16 10:00:00,T0_CH_CERN
1671,14-Jan-16 11:00:00,T0_CH_CERN
1674,14-Jan-16 12:00:00,T0_CH_CERN
1675,14-Jan-16 13:00:00,T0_CH_CERN
1671,14-Jan-16 14:00:00,T0_CH_CERN
1670,14-Jan-16 15:00:00,T0_CH_CERN
1677,14-Jan-16 16:00:00,T0_CH_CERN
1675,14-Jan-16 17:00:00,T0_CH_CERN
1677,14-Jan-16 18:00:00,T0_CH_CERN
1670,14-Jan-16 19:00:00,T0_CH_CERN
1674,14-Jan-16 20:00:00,T0_CH_CERN
1669,14-Jan-16 21:00:00,T0_CH_CERN
1670,14-Jan-16 22:00:00,T0_CH_CERN
1675,14-Jan-16 23:00:00,T0_CH_CERN
1667,15-Jan-16 00:00:00,T0_CH_CERN
1674,15-Jan-16 01:00:00,T0_CH_CERN
1673,15-Jan-16 02:00:00,T0_CH_CERN
1671,15-Jan-16 03:00:00,T0_CH_CERN
1671,15-Jan-16 04:00:00,T0_CH_CERN
1671,15-Jan-16 05:00:00,T0_CH_CERN
1671,15-Jan-16 06:00:00,T0_CH_CERN
1679,15-Jan-16 07:00:00,T0_CH_CERN
1671,15-Jan-16 08:00:00,T0_CH_CERN
1671,15-Jan-16 09:00:00,T0_CH_CERN
1671,15-Jan-16 10:00:00,T0_CH_CERN
1674,15-Jan-16 11:00:00,T0_CH_CERN
1675,15-Jan-16 12:00:00,T0_CH_CERN
1662,15-Jan-16 13:00:00,T0_CH_CERN
